date,text,username,location,retweetcount,likecount,source,cleaned_text,Processed_Tweets,polarity,Sentiment
2022-07-26 18:24:15+00:00,@TheOyinbooke @DataFestAfrica I learnt Data analysis via the #30daysoflearning with a laptop that has no battery and faulty mousepad. A better laptop will go a long way in helping me on my journey to become a Data analyst,bigsean_84,everywhere,0,2,Twitter for Android,  i learnt data analysis via the  with a laptop that has no battery and faulty mousepad a better laptop will go a long way in helping me on my journey to become a data analyst,learnt data analysis via laptop battery faulty mousepad better laptop go long way helping journey become data analyst,0.225,Positive
2022-07-26 18:21:22+00:00,@TheOyinbooke @DataFestAfrica MTN Hynet Router. I need it to be able to connect to the net when working and learning online without having to reconnect when call enters my phone.,ILawnar,jos nigeria,0,0,Twitter for iPhone,  mtn hynet router i need it to be able to connect to the net when working and learning online without having to reconnect when call enters my phone,mtn hynet router need able connect net working learning online without reconnect call enters phone,0.25,Positive
2022-07-26 18:20:29+00:00,@TheOyinbooke @DataFestAfrica I would prefer a laptop because I have been using my phone to learn data science through a scholarship won from @Ingressive4Good and @DataCamp. I would love to get a laptop so I can get to practice what I have learnt and also build projects. Thank you,AyGenteel,global,0,5,Twitter for Android,  i would prefer a laptop because i have been using my phone to learn data science through a scholarship won from  and  i would love to get a laptop so i can get to practice what i have learnt and also build projects thank you,would prefer laptop using phone learn data science scholarship would love get laptop get practice learnt also build project thank,0.5,Positive
2022-07-26 18:15:00+00:00,"@TheOyinbooke @DataFestAfrica For me the laptop will go a very long we to helping my data analysis training. 

If someone can just dash a laptop een. Ahhhh",oluyemi720,lagos nigeria,0,1,Twitter for Android,  for me the laptop will go a very long we to helping my data analysis training if someone can just dash a laptop een ahhhh,laptop go long helping data analysis training someone dash laptop een ahhhh,-0.05,Negative
2022-07-26 18:11:49+00:00,@TheOyinbooke @DataFestAfrica I prefer a Laptop because I currently use a tablet for learning. Building projects can be challenging.,Osamuede,nigeria,0,1,Twitter for Android,  i prefer a laptop because i currently use a tablet for learning building projects can be challenging,prefer laptop currently use tablet learning building project challenging,0.25,Positive
2022-07-26 18:09:20+00:00,@TheMaryamO @DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls Very wrong fa,Femi_OfMainland,lagos nigeria,0,2,Twitter for Android,       very wrong fa,wrong fa,-0.5,Negative
2022-07-26 18:07:55+00:00,@TheOyinbooke @DataFestAfrica Been experiencing regular 'blue screen of death' after countless repairs.,ICE_Nuel,saturn,0,1,Twitter for Android,  been experiencing regular blue screen of death after countless repairs,experiencing regular blue screen death countless repair,0.0,Positive
2022-07-26 18:02:48+00:00,@TheMaryamO @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @Femi_OfMainland Na really hyperflex 🤣🤣,DavidAbu_,global,0,0,Twitter for iPhone,       na really hyperflex 🤣🤣,na really hyperflex 🤣🤣,0.2,Positive
2022-07-26 18:02:41+00:00,Join me as I moderate this panel at DataFest Africa tomorrow. Will chat broadly around the intersection of data and social justice. Come say hello if you are in Lagos! https://t.co/gWrZlp9S08,CalebOkereke,kampala lagos salt lake city,5,11,Twitter for iPhone,join me as i moderate this panel at datafest africa tomorrow will chat broadly around the intersection of data and social justice come say hello if you are in lagos ,join moderate panel tomorrow chat broadly around intersection data social justice come say hello lagos,0.03194444444444444,Positive
2022-07-26 18:01:13+00:00,"@jessica_xls @DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @TheMaryamO @Femi_OfMainland That's reserved for Nigerians nau.
You guys have light 😔",PauloDaguvnor,lagos nigeria,0,3,Twitter for Android,        thats reserved for nigerians nauyou guys have light ,thats reserved nigerian nauyou guy light,0.4,Positive
2022-07-26 18:00:44+00:00,"As we seek more ways to support the Data Community in Africa, we are looking at impactful SWAG ideas @DataFestAfrica '22 Event. Make sure you follow @DataFestAfrica .

Now, which would you prefer? 
Share your reasons in the comment session.

We want to give out in good numbers",TheOyinbooke,global,20,63,Twitter for Android,as we seek more ways to support the data community in africa we are looking at impactful swag ideas   event make sure you follow  now which would you prefer share your reasons in the comment sessionwe want to give out in good numbers,seek way support data community looking impactful swag idea event make sure follow would prefer share reason comment sessionwe want give good number,0.6,Positive
2022-07-26 17:57:18+00:00,"#DataFestNigeria, the biggest festival on data in Africa returns for the final post event happening on Wednesday July 27th, 2022 at the @Cc_Hub. Missed out on registration? Follow online via Zoom. Register here: https://t.co/nGxvEpCmHi #DFA22 https://t.co/jF46R6sJq4",YusufAkinlotan,broadcasting houseikoyi lagos,0,0,Twitter for Android, the biggest festival on data in africa returns for the final post event happening on wednesday july th  at the  missed out on registration follow online via zoom register here   ,biggest festival data return final post event happening wednesday july th missed registration follow online via zoom register,0.0,Positive
2022-07-26 17:55:25+00:00,@DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @Femi_OfMainland Or whatever they call it 🤣,TheMaryamO,england,0,0,Twitter for iPhone,       or whatever they call it 🤣,whatever call,0.0,Positive
2022-07-26 17:55:04+00:00,"@DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @Femi_OfMainland If you didn't pick MTN Hyperflex Device, you're wrong🌚",TheMaryamO,england,0,0,Twitter for iPhone,       if you didnt pick mtn hyperflex device youre wrong,pick mtn hyperflex device wrong,-0.5,Negative
2022-07-26 17:54:11+00:00,@japhletnwamu @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @TheMaryamO @Femi_OfMainland A whole you,DavidAbu_,global,0,0,Twitter for iPhone,        a whole you,whole,0.2,Positive
2022-07-26 17:53:51+00:00,"@jessica_xls @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @TheMaryamO @Femi_OfMainland Hope you understand why I am coming to your dm, we get agreement sef so I no fear",DavidAbu_,global,0,1,Twitter for iPhone,       hope you understand why i am coming to your dm we get agreement sef so i no fear,hope understand coming dm get agreement sef fear,0.0,Positive
2022-07-26 17:52:58+00:00,@DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @TheMaryamO @Femi_OfMainland I voted power bank lol,jessica_xls,toronto ontario,0,4,Twitter for iPhone,       i voted power bank lol,voted power bank lol,0.8,Positive
2022-07-26 17:52:45+00:00,@Femi_OfMainland @ed_esu @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @TheMaryamO No problem,DavidAbu_,global,0,0,Twitter for iPhone,        no problem,problem,0.0,Positive
2022-07-26 17:50:08+00:00,@DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @TheMaryamO @Femi_OfMainland I have voted. I need to collect swag too. 😁😁,japhletnwamu,edo nigeria,0,0,Twitter for Android,        i have voted i need to collect swag too ,voted need collect swag,0.0,Positive
2022-07-26 17:49:30+00:00,@DavidAbu_ @ed_esu @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @TheMaryamO I dey come pack the new ones some day,Femi_OfMainland,lagos nigeria,0,0,Twitter for Android,        i dey come pack the new ones some day,dey come pack new one day,0.13636363636363635,Positive
2022-07-26 17:44:56+00:00,@Bawzz_lady @DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @jessica_xls @TheMaryamO @Femi_OfMainland We can never have too many mugs😂😂😂😂😂,ed_esu,Unknown,0,0,Twitter Web App,        we can never have too many mugs,never many mug,-0.25,Negative
2022-07-26 17:44:10+00:00,@ed_esu @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @TheMaryamO @Femi_OfMainland If you how many mugs I get ehn 😂😂,DavidAbu_,global,0,2,Twitter for iPhone,        if you how many mugs i get ehn ,many mug get ehn,0.5,Positive
2022-07-26 17:43:48+00:00,@ed_esu @DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @jessica_xls @TheMaryamO @Femi_OfMainland I have 1 million cutomised mugs abeg😭,Bawzz_lady,Unknown,0,0,Twitter for iPhone,        i have  million cutomised mugs abeg,million cutomised mug abeg,0.0,Positive
2022-07-26 17:42:26+00:00,@DavidAbu_ @DataFestAfrica @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @TheMaryamO @Femi_OfMainland Voted. Mugs are a good shout out too since we de use am every day.,ed_esu,Unknown,0,0,Twitter Web App,        voted mugs are a good shout out too since we de use am every day,voted mug good shout since de use every day,0.7,Positive
2022-07-26 17:37:34+00:00,"I am thinking of something especially those coming to @DataFestAfrica 

Apart from many swags at any tech event which you see, which one below will you love to see @DataFestAfrica 

Cc @GiftOjeabulu_ @AhmedOyelowo @Bawzz_lady @jessica_xls @TheMaryamO @Femi_OfMainland",DavidAbu_,global,23,44,Twitter for iPhone,i am thinking of something especially those coming to  apart from many swags at any tech event which you see which one below will you love to see  cc      ,thinking something especially coming apart many swag tech event see one love see cc,0.3333333333333333,Positive
2022-07-26 17:20:14+00:00,"Join our Threat Intelligence Analyst, Nathaniel Adewole, at @PollicyOrg's #DataFestAfrica event in Lagos as he speaks about ""What it Means to be Safe Online"". Visit https://t.co/RK10FCnTKQ for more information.

#DFA22 #DataFestNigeria @Code4Africa @TheVillageUG @DefendDefenders https://t.co/ug9vnYeJhz",Cc_HUB,Unknown,5,6,Twitter Web App,join our threat intelligence analyst nathaniel adewole at s  event in lagos as he speaks about what it means to be safe online visit  for more information     ,join threat intelligence analyst nathaniel adewole event lagos speaks mean safe online visit information,0.09375,Positive
2022-07-26 09:26:55+00:00,"Our Adedolapo Adegoroye  will be speaking at @PollicyOrg ‘s Datafest on Advancing Human Rights “Approach to Design”

Venue: Co-creation Hub, Lagos
Date:  Wednesday, 27th July, 2022
Time: 11:20 am

Join us if you are in Lagos. 

#DFA22 https://t.co/W47T4lCiG7",HiveAdvisory,from africa to the world,10,12,Twitter for iPhone,our adedolapo adegoroye  will be speaking at  ‘s datafest on advancing human rights approach to designvenue co-creation hub lagosdate  wednesday th july time  amjoin us if you are in lagos  ,adedolapo adegoroye speaking ‘ advancing human right approach designvenue co-creation hub lagosdate wednesday th july time amjoin u lagos,0.14285714285714285,Positive
2022-07-26 09:24:51+00:00,"The biggest festival on data in Africa is coming to Lagos!

We have partnered with @PollicyOrg to bring you #DataFestNigeria this Wednesday, 27th of July.

Find out more about #DataFestAfrica and register here: https://t.co/vEnoEpCpr7

@Code4Africa @TheVillageUG @DefendDefenders https://t.co/m42MBNyyJZ",Cc_HUB,Unknown,5,10,Twitter Web App,the biggest festival on data in africa is coming to lagoswe have partnered with  to bring you  this wednesday th of julyfind out more about  and register here    ,biggest festival data coming lagoswe partnered bring wednesday th julyfind register,0.0,Positive
2022-07-26 08:44:52+00:00,"Introducing our panelists for tomorrow's #DFA22 event in Nigeria:
Topic: ""Advancing Human Rights Approach to Design""
Favour Borokini
Evelyn Adegoreye
Caleb Okereke
Salami Adewumi

#BigDataLittleData #DataFestAfrica #DataFestNigeria #DataDrop |@Cc_HUB @MinorityAfrica @HiveAdvisory https://t.co/wO4hCXfMS5",PollicyOrg,kampala uganda,8,20,Twitter Web App,introducing our panelists for tomorrows  event in nigeriatopic advancing human rights approach to designfavour borokinievelyn adegoreyecaleb okerekesalami adewumi       ,introducing panelist tomorrow event nigeriatopic advancing human right approach designfavour borokinievelyn adegoreyecaleb okerekesalami adewumi,0.14285714285714285,Positive
